9,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-15527149,-15198184,-16777216,-16777216,-16777216,-16777216,-10921639,-3684409,-7763575,-16777216,-16777216,-16777216,-15132391,-1184275,-8026747,-6316129,-16777216,-16777216,-16777216,-16777216,-16777216,-12632257,-10987432,-16777216,-16777216,-16777216,-16777216,-16777216,-10724260,-12303292,-16777216,-16777216,-16777216,-16777216,-16777216,-14079703,-11842741,-16777216,-16777216
9,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-14211289,-13619152,-16053493,-16777216,-16777216,-16777216,-10066330,-8487298,-11250604,-6250336,-15987700,-16777216,-16777216,-8224126,-7763575,-9145228,-4868683,-15198184,-16777216,-16777216,-16777216,-16711423,-14342875,-5066062,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-4276546,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-8289919,-16777216,-16777216
9,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-15921907,-13948117,-16777216,-16777216,-16777216,-16777216,-9408400,-4276546,-3947581,-16448251,-16777216,-16777216,-14211289,-1118482,-5263441,-2631721,-15790321,-16777216,-16777216,-16777216,-14408668,-13553359,-6908266,-16777216,-16777216,-16777216,-16777216,-16777216,-8026747,-12961222,-16777216,-16777216,-16777216,-16777216,-16777216,-9539986,-16053493,-16777216,-16777216
9,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-13421773,-8553091,-6118750,-12369085,-16777216,-16777216,-11908534,-3026479,-9145228,-2763307,-10132123,-16777216,-16777216,-2697514,-14408668,-16514044,-3158065,-10592674,-16777216,-16777216,-1315861,-4473925,-3552823,-723724,-16777216,-16777216,-16777216,-15987700,-12961222,-14869219,-2894893,-10000537,-16777216,-16777216,-16777216,-16777216,-16777216,-15790321,-13816531,-16777216
9,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-15461356,-10197916,-16250872,-16777216,-16777216,-16777216,-11316397,-4013374,-7960954,-5789785,-15263977,-16777216,-16777216,-4539718,-13684945,-5789785,-4802890,-9605779,-16777216,-16777216,-4802890,-5987164,-8289919,-13158601,-4276546,-16777216,-16777216,-15132391,-11053225,-16777216,-16777216,-5658199,-15921907,-16777216,-16777216,-16777216,-16777216,-16777216,-15790321,-15461356
9,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16579837,-10461088,-9737365,-16777216,-16777216,-16777216,-16053493,-4342339,-6776680,-5526613,-15921907,-16777216,-16777216,-15921907,-4934476,-6842473,-3618616,-16382458,-16777216,-16777216,-16777216,-16777216,-7434610,-12369085,-16777216,-16777216,-16777216,-16777216,-13027015,-5658199,-16777216,-16777216,-16777216,-16777216,-16777216,-11776948,-14671840,-16777216,-16777216,-16777216
9,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16645630,-10658467,-13355980,-16777216,-16777216,-16777216,-16777216,-8487298,-7631989,-7763575,-16777216,-16777216,-16777216,-16777216,-3881788,-5263441,-3421237,-16777216,-16777216,-16777216,-16777216,-14803426,-15132391,-6184543,-16777216,-16777216,-16777216,-16777216,-16777216,-12698050,-9211021,-16777216,-16777216,-16777216,-16777216,-16777216,-15658735,-12698050,-16777216,-16777216
9,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-15066598,-8882056,-10987432,-16777216,-16777216,-16777216,-11316397,-5658199,-8684677,-2236963,-16777216,-16777216,-12369085,-3026479,-4934476,-1052689,-14474461,-16777216,-16777216,-12829636,-9211021,-9408400,-8355712,-16777216,-16777216,-16777216,-16777216,-14671840,-3881788,-16316665,-16777216,-16777216,-16777216,-16777216,-10526881,-14277082,-16777216,-16777216,-16777216
9,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16250872,-13027015,-16448251,-16777216,-16777216,-16777216,-10921639,-5789785,-3750202,-15658735,-16777216,-16777216,-16053493,-7566196,-6447715,-7237231,-16777216,-16777216,-16777216,-16777216,-16777216,-6710887,-15592942,-16777216,-16777216,-16777216,-16777216,-11908534,-9605779,-16777216,-16777216,-16777216,-16777216,-16777216,-9211021,-15066598,-16777216,-16777216,-16777216
9,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16777216,-16514044,-13487566,-16777216,-16777216,-16777216,-16777216,-14211289,-8421505,-5066062,-16777216,-16777216,-16777216,-16777216,-9737365,-7500403,-7697782,-16777216,-16777216,-16777216,-16777216,-16777216,-9013642,-14671840,-16777216,-16777216,-16777216,-16777216,-14474461,-9605779,-16777216,-16777216,-16777216,-16777216,-16777216,-11447983,-15921907,-16777216,-16777216,-16777216
